job_id,part_id,status,current_location,last_completion_time,total_operations,completed_operations,current_operation,progress,remaining_operations,machine,queue_type
J1,P1,DONE,,10.738704674230911,3,3,,1.0,0,M1,finished
J3,P3,DONE,,16.293157904333093,2,2,,1.0,0,M1,finished
J2,P2,DONE,,13.056270225695547,2,2,,1.0,0,M2,finished
